Scheduler,Round,Throughput_Mbps,Avg_Delay_ms,Jitter_ms,Packet_Loss_%,Packets_Sent,Packets_Received
default,1,13.429562165,276.293,0.588,0.0,199890,199890
default,2,23.829467779999998,275.787,0.328,0.0,350951,350951
default,3,23.213710041,247.992,0.337,0.0005852231163130944,341748,341748
roundrobin,1,8.841837274,254.48100000000002,0.909,0.0,129938,129938
roundrobin,2,26.856946648,265.846,0.29100000000000004,0.0017697325175709158,395533,395533
roundrobin,3,12.822818655999999,206.498,0.623,0.0,188204,188204
blest,1,15.493610129,159.42999999999998,0.512,0.0,227446,227446
blest,2,13.790196901,166.927,0.5770000000000001,0.0,202789,202789
blest,3,21.428509752,226.76,0.366,0.0,315324,315324
ecf,1,11.467228037,201.579,0.6930000000000001,0.0,169611,169611
ecf,2,25.587025203,232.093,0.305,0.0,376675,376675
ecf,3,22.899585974,213.19199999999998,0.34299999999999997,0.0,336945,336945
