Scheduler,Round,Throughput_Mbps,Avg_Delay_ms,Jitter_ms,Packet_Loss_%,Packets_Sent,Packets_Received
default,1,24.881013627,254.83800000000002,0.313,0.0,122909,122909
default,2,7.981615045,649.996,1.0050000000000001,0.0,39259,39259
default,3,5.461714553,868.878,1.451,0.0,27737,27737
roundrobin,1,15.248689182,276.125,0.517,0.0,75698,75698
roundrobin,2,4.523304164,1160.786,1.7329999999999999,0.0,23475,23475
roundrobin,3,10.553864029,373.01800000000003,0.755,0.0,52292,52292
blest,1,29.688195655,277.441,0.259,0.0,147860,147860
blest,2,30.188353931,311.99399999999997,0.256,0.0013345077001094296,149866,149866
blest,3,27.343604248,285.498,0.28200000000000003,0.0,136801,136801
ecf,1,29.786729103000003,263.34000000000003,0.259,0.0,147077,147077
ecf,2,29.039805034,341.121,0.266,0.0,145064,145064
ecf,3,5.142627662,496.24,1.553,0.0,25680,25680
