Scheduler,Round,Throughput_Mbps,Avg_Delay_ms,Jitter_ms,Packet_Loss_%,Packets_Sent,Packets_Received,Total_Bytes_MB
default,1,26.273476588,132.972,7.126,0.0,4002,4002,0.0
default,2,19.18703899,144.74300000000002,10.171,0.0,2923,2923,0.0
default,3,24.200989162000003,247.664,7.9799999999999995,0.0,3778,3778,0.0
roundrobin,1,20.041157463,172.524,9.914,0.0,3052,3052,0.0
roundrobin,2,24.876354719,141.53,7.517,0.0,3798,3798,0.0
roundrobin,3,18.012992103000002,179.424,11.247,0.0,2743,2743,0.0
blest,1,23.241173001,145.924,7.765000000000001,0.0,3587,3587,0.0
blest,2,19.999177081000003,128.077,9.639999999999999,0.0,3046,3046,0.0
blest,3,13.007084842,180.03,15.651000000000002,0.0,1981,1981,0.0
ecf,1,13.019169328,240.41000000000003,16.147000000000002,0.0,1988,1988,0.0
ecf,2,16.268259003,142.982,12.050999999999998,0.0,2483,2483,0.0
ecf,3,14.069201698999999,157.637,14.152,0.0,2142,2142,0.0
