Scheduler,Round,Throughput_Mbps,Avg_Delay_ms,Jitter_ms,Packet_Loss_%,Packets_Sent,Packets_Received,Total_Bytes_MB
default,1,21.806903025,3961.544,8.87,0.0,3794,3794,0.0
default,2,22.175040923,3927.572,8.636,0.0,3806,3806,0.0
default,3,21.758618345,3838.948,8.961,0.0,3882,3882,0.0
roundrobin,1,22.118507586,3737.307,8.638,0.0,3761,3761,0.0
roundrobin,2,22.115704130999998,3741.4010000000003,8.648,0.0,3736,3736,0.0
roundrobin,3,22.050292394,3730.0209999999997,8.647,0.0,3646,3646,0.0
blest,1,21.303673038,3978.1780000000003,9.278,0.0,3487,3487,0.0
blest,2,21.512677072,3893.8869999999997,9.323,0.0,3598,3598,0.0
blest,3,21.315854195,3849.645,9.24,0.0,3489,3489,0.0
ecf,1,21.976893284000003,3894.569,8.794,0.0,3670,3670,0.0
ecf,2,21.792137497,3926.8869999999997,8.884,0.0,3837,3837,0.0
ecf,3,21.959303707,3919.085,8.677000000000001,0.0,3596,3596,0.0
