Scheduler,Round,Throughput_Mbps,Avg_Delay_ms,Jitter_ms,Packet_Loss_%,Packets_Sent,Packets_Received,Total_Bytes_MB
default,1,14.617867657000001,82.75,0.106,0.0,17844,17844,0.0
default,2,14.651504265,78.997,0.155,0.0,17886,17886,0.0
default,3,14.658830765000001,79.86699999999999,0.164,0.0,17894,17894,0.0
roundrobin,1,14.733133597,190.046,1.075,0.0,18001,18001,0.0
roundrobin,2,14.705845362,166.386,1.0859999999999999,0.0,17970,17970,0.0
roundrobin,3,14.71278904,176.79,1.083,0.0,17978,17978,0.0
blest,1,14.656548199000001,89.737,0.203,0.0,17892,17892,0.0
blest,2,14.671025659000001,89.724,0.205,0.0,17909,17909,0.0
blest,3,14.626040677999999,81.932,0.14100000000000001,0.0,17854,17854,0.0
ecf,1,14.627537926999999,80.333,0.10500000000000001,0.0,17856,17856,0.0
ecf,2,14.635200453,77.886,0.106,0.0,17865,17865,0.0
ecf,3,14.636469299,78.129,0.11,0.0,17867,17867,0.0
