Scheduler,File,Round,NumChunks,AvgDelay(ms),Goodput(Mbps),DownloadTime(s),OFO_5G,OFO_WiFi
default,8mb.dat,1,4212,386.47452678888726,19.923717692639432,3.225804567337036,0,0
roundrobin,8mb.dat,1,4212,385.9640788941415,19.914028557270118,3.2273740768432617,1,0
blest,8mb.dat,1,4212,379.9835399911161,19.525920150512302,3.2915232181549072,1,0
ecf,8mb.dat,1,4212,414.4800298573964,19.872173435667516,3.2341716289520264,2,0
default,8mb.dat,2,4212,434.46747026099325,19.767103268903455,3.2513625621795654,1,0
default,8mb.dat,3,4212,446.6531041227741,19.779016624050396,3.249404191970825,0,0
default,8mb.dat,4,4212,385.13192990113754,19.922449900841528,3.2260098457336426,1,0
roundrobin,8mb.dat,2,4212,409.34641895584,19.805931728431382,3.244988441467285,0,0
roundrobin,8mb.dat,3,4212,386.1358907261239,19.917637883765753,3.2267892360687256,0,0
roundrobin,8mb.dat,4,4212,371.93016794219204,19.956345494231368,3.2205305099487305,0,0
blest,8mb.dat,2,4212,432.19528737117986,19.211537869466905,3.345386505126953,3,0
blest,8mb.dat,3,4212,427.4531476065191,19.411291353353004,3.310960531234741,1,0
blest,8mb.dat,4,4212,472.15209506515765,19.20122948043468,3.347182512283325,1,0
ecf,8mb.dat,2,4212,383.2389317233565,19.911738277289835,3.227745294570923,1,0
ecf,8mb.dat,3,4212,413.8215281005599,19.897628719761112,3.230034112930298,0,0
ecf,8mb.dat,4,4212,384.51337395457006,19.95757179915028,3.220332622528076,0,0
