Scheduler,File,Round,NumChunks,AvgDelay(ms),Goodput(KB/s),DownloadTime(s),OFO_5G,OFO_WiFi
default,512mb.dat,1,513,2938.471188554522,2691.845318139454,195.149400472641,0,0
default,512mb.dat,2,513,2941.3461852491946,2696.3245360271508,194.82521224021912,0,0
default,512mb.dat,3,513,2941.0500842460647,2695.6077436612823,194.87701845169067,0,0
roundrobin,512mb.dat,1,513,2940.2267249704105,2695.100673052433,194.9136836528778,0,0
roundrobin,512mb.dat,2,513,2943.0046866976495,2692.043940088522,195.13500213623047,0,0
roundrobin,512mb.dat,3,513,2943.640839519092,2691.605968812931,195.16675400733948,0,0
blest,512mb.dat,1,513,2931.435236921552,2693.622478771324,195.02064752578735,0,0
blest,512mb.dat,2,513,2933.230071039925,2689.7765669050386,195.29949307441711,0,0
blest,512mb.dat,3,513,2932.994282966004,2688.436437149361,195.39684581756592,0,0
ecf,512mb.dat,1,513,2938.892862717775,2695.384623596357,194.89315009117126,0,0
ecf,512mb.dat,2,513,2926.823452434577,2692.8595869339842,195.07589721679688,0,0
ecf,512mb.dat,3,513,2929.243891792223,2696.8184413218446,194.7895312309265,0,0
