Scheduler,File,Round,NumChunks,AvgDelay(ms),Goodput(KB/s),DownloadTime(s),OFO_5G,OFO_WiFi
default,8mb.dat,1,43691,26.217148539779394,632.9445353320363,13.48206353187561,93,0
roundrobin,8mb.dat,1,43691,24.37000039355529,634.610903320247,13.446662187576294,60,0
blest,8mb.dat,1,43691,23.02663872665486,633.2704775164243,13.47512435913086,37,0
ecf,8mb.dat,1,43691,24.124698987504484,632.5443786354806,13.49059247970581,47,0
default,8mb.dat,2,43691,23.49835347879345,635.0622077357265,13.437106370925903,49,0
default,8mb.dat,3,43691,23.64692332524084,634.196590793071,13.455446720123291,46,0
default,8mb.dat,4,43691,24.733331219776904,633.9815349389743,13.460011005401611,48,0
roundrobin,8mb.dat,2,43691,24.33628463081555,636.7643643764244,13.401187181472778,49,0
roundrobin,8mb.dat,3,43691,23.60153454172044,635.8863088950932,13.419692039489746,37,0
roundrobin,8mb.dat,4,43691,23.364793601927406,634.2544686896321,13.454218864440918,24,0
blest,8mb.dat,2,43691,22.200940634331154,635.1160400018937,13.435967445373535,12,0
blest,8mb.dat,3,43691,21.771057606321843,628.5211803264087,13.576946496963501,47,0
blest,8mb.dat,4,43691,23.89665845139438,631.5031240922235,13.512836456298828,60,0
ecf,8mb.dat,2,43691,23.483587963152008,634.7577432847124,13.443551540374756,36,0
ecf,8mb.dat,3,43691,23.71222127973931,634.7200560953607,13.444349765777588,48,0
ecf,8mb.dat,4,43691,22.319602665086247,633.5400181277112,13.469391345977783,24,0
