Scheduler,File,Round,NumChunks,AvgDelay(ms),Goodput(KB/s),DownloadTime(s),OFO_5G,OFO_WiFi
default,8mb.dat,1,43691,1287.2839647984024,3747.31237351185,2.277204990386963,1007,422
default,8mb.dat,2,43691,898.8677365440838,3945.896789232558,2.162600517272949,1,0
default,8mb.dat,3,43691,890.0681646637835,3943.1637110107413,2.1640994548797607,0,0
roundrobin,8mb.dat,1,43691,869.6788854656406,3951.0127268787382,2.1598002910614014,1,0
roundrobin,8mb.dat,2,43691,866.343089571663,3951.164948760889,2.159717082977295,1,0
roundrobin,8mb.dat,3,43691,860.6081774899917,3950.6860782497433,2.1599788665771484,0,0
blest,8mb.dat,1,43691,1045.5564262092582,3448.318216291875,2.4746551513671875,0,0
blest,8mb.dat,2,43691,974.3538662272503,3537.358328183368,2.4123647212982178,0,0
blest,8mb.dat,3,43691,1014.6679081414444,3494.9980792564975,2.441603183746338,0,0
ecf,8mb.dat,1,43691,837.132581610539,3792.4700248295085,2.2500898838043213,0,0
ecf,8mb.dat,2,43691,835.2535071587662,3710.1621573209627,2.300006866455078,0,0
ecf,8mb.dat,3,43691,860.5139514673125,3846.400800581522,2.218541145324707,0,0
default,8mb.dat,4,43691,830.9671335523087,3842.0757363554967,2.221038579940796,0,0
default,8mb.dat,5,43691,829.7987346647424,3772.7057715387855,2.2618775367736816,0,0
default,8mb.dat,6,43691,832.3804067977658,3762.0880960316813,2.268261194229126,0,0
roundrobin,8mb.dat,4,43691,794.2145340981419,3850.096882599459,2.2164113521575928,1,0
roundrobin,8mb.dat,5,43691,771.2237696815608,3777.2829440454157,2.25913667678833,0,0
roundrobin,8mb.dat,6,43691,787.630927775261,3849.7610333701405,2.216604709625244,2,0
blest,8mb.dat,4,43691,1023.5906766766319,3393.277225040973,2.5147955417633057,1,0
blest,8mb.dat,5,43691,1015.1536227151148,3552.217466965122,2.402273654937744,0,0
blest,8mb.dat,6,43691,1021.6300043815611,3677.8674418155383,2.3202028274536133,0,0
ecf,8mb.dat,4,43691,788.624422834671,3891.4243373932804,2.1928727626800537,2,0
ecf,8mb.dat,5,43691,799.4183437666708,3968.340262175441,2.150369644165039,0,0
ecf,8mb.dat,6,43691,784.0704488665871,3962.98937427988,2.153273105621338,0,0
default,8mb.dat,7,43691,784.8290117663721,3964.433543283085,2.1524887084960938,0,0
default,8mb.dat,8,43691,775.4440091522895,3880.512581100453,2.1990389823913574,1,0
default,8mb.dat,9,43691,788.5835974933119,3925.489067490261,2.1738433837890625,0,0
roundrobin,8mb.dat,7,43691,735.8995122571871,3970.829926925266,2.1490213871002197,1,0
roundrobin,8mb.dat,8,43691,751.1386641055589,3970.925965927958,2.1489694118499756,0,0
roundrobin,8mb.dat,9,43691,705.4875525859393,3972.608723593344,2.148059129714966,2,0
blest,8mb.dat,7,43691,946.4342578485349,3721.5278120037024,2.292982578277588,2,0
blest,8mb.dat,8,43691,795.0075995730823,3907.6065185317166,2.1837916374206543,0,0
blest,8mb.dat,9,43691,785.3583092792213,3873.7520015888244,2.2028768062591553,0,0
ecf,8mb.dat,7,43691,802.5632260120817,3947.702949797131,2.1616110801696777,1,0
ecf,8mb.dat,8,43691,798.6858977775122,3961.575196802198,2.1540417671203613,0,0
ecf,8mb.dat,9,43691,793.0335968794907,3902.6988975252875,2.186537742614746,0,0
default,8mb.dat,10,43691,730.9778194445389,3530.6767584668914,2.4169299602508545,0,0
default,8mb.dat,11,43691,484.74569469216254,3657.194052263252,2.3333184719085693,1,0
default,8mb.dat,12,43691,483.95923863032215,3657.152572894926,2.3333449363708496,0,0
roundrobin,8mb.dat,10,43691,495.78614809647826,3535.508144131379,2.4136271476745605,0,0
roundrobin,8mb.dat,11,43691,478.18526448760605,3626.0500973385483,2.3533592224121094,0,0
roundrobin,8mb.dat,12,43691,488.4116034959476,3656.5962424119457,2.333699941635132,0,0
blest,8mb.dat,10,43691,425.373991864334,3801.4645843527364,2.2447659969329834,0,0
blest,8mb.dat,11,43691,425.41369463404214,3812.6333214382726,2.238190174102783,0,0
blest,8mb.dat,12,43691,429.37776405620156,3795.3534694372693,2.248380422592163,0,0
ecf,8mb.dat,10,43691,466.374088694091,3582.691013149635,2.381840467453003,0,0
ecf,8mb.dat,11,43691,453.1812070640635,3725.508803875931,2.290532350540161,0,0
ecf,8mb.dat,12,43691,487.2796245347157,3544.578018777169,2.4074511528015137,0,0
default,8mb.dat,13,43691,469.17454279780657,3573.9177070636356,2.3876874446868896,0,0
default,8mb.dat,14,43691,455.1638648415629,3708.508366291136,2.301032543182373,0,0
default,8mb.dat,15,43691,457.07265348090226,3656.2458672504404,2.333923578262329,0,0
roundrobin,8mb.dat,13,43691,317.82205952670563,3952.9340249706884,2.158750534057617,2,0
roundrobin,8mb.dat,14,43691,459.5989315391545,3679.0242682999033,2.3194732666015625,0,0
roundrobin,8mb.dat,15,43691,463.15170454172954,3653.9312692731046,2.335402011871338,0,0
blest,8mb.dat,13,43691,321.8395922647884,3929.9186394308945,2.1713931560516357,1,0
blest,8mb.dat,14,43691,421.7694750288571,3811.1401497211045,2.2390670776367188,0,0
blest,8mb.dat,15,43691,430.2755410382399,3795.501580430928,2.2482926845550537,0,0
ecf,8mb.dat,13,43691,468.1692613554231,3571.209707650384,2.389497995376587,1,0
ecf,8mb.dat,14,43691,466.91979544709153,3616.844473938358,2.359349012374878,0,0
ecf,8mb.dat,15,43691,464.2712882524913,3575.0850454036627,2.3869078159332275,0,0
default,8mb.dat,16,43691,470.4190459260899,3608.054972946393,2.3650965690612793,1,0
default,8mb.dat,17,43691,459.2532674745293,3643.542282463478,2.3420610427856445,0,0
default,8mb.dat,18,43691,460.8967305157414,3663.0550769277374,2.329585075378418,0,0
roundrobin,8mb.dat,16,43691,460.8487939368573,3623.670466466866,2.3549046516418457,0,0
roundrobin,8mb.dat,17,43691,339.05619283951484,3952.1675508479702,2.1591691970825195,0,0
roundrobin,8mb.dat,18,43691,463.87148861133,3655.5382245880946,2.3343753814697266,0,0
blest,8mb.dat,16,43691,424.60910807552784,3800.198017300023,2.245514154434204,1,0
blest,8mb.dat,17,43691,423.0007449846804,3812.409149270542,2.2383217811584473,0,0
blest,8mb.dat,18,43691,430.21558282282075,3793.556934673202,2.2494451999664307,1,0
ecf,8mb.dat,16,0,0,0.0,10.010465860366821,0,0
